"","Nombre","Nacionalidad","Peso","Altura","Edad","Minutos jugados","Partidos jugados","Partidos como titular","Goles","Autogoles","Tarjetas amarillas","Tarjetas rojas"
"1","Francisco Guillermo Ochoa Magaña","Mexicano","85 kg","1.9","35 Años, 10 Mes(es), 6 Día(s)","1350","15","15",NA,"0",NA,"0"
"2","Oscar Francisco Jiménez Fabela","Mexicano","77.8 kg","1.82","32 Años, 7 Mes(es), 7 Día(s)","180","2","2",NA,"0",NA,"0"
"3","Luis Fernando Fuentes Vargas","Mexicano","67 kg","1.72","34 Años, 8 Mes(es), 5 Día(s)","1492","17","17",NA,"0","2","0"
"4","Jorge Eduardo Sánchez Ramos","Mexicano","71 kg","1.75","23 Años, 5 Mes(es), 9 Día(s)","1436","16","16",NA,"0","4","0"
"5","Sebastián Enzo Cáceres Ramos","Uruguayo","76.6 kg","1.8","21 Años, 9 Mes(es), 1 Día(s)","1260","14","14",NA,"0","2","0"
"6","Jesús Alonso Escoboza Lugo","Mexicano","68 kg","1.71","28 Años, 3 Mes(es), 28 Día(s)","79","4",NA,NA,"0",NA,"0"
"7","Bruno Amilcar Valdez Rojas","Paraguayo","80 kg","1.8","28 Años, 7 Mes(es), 13 Día(s)","270","3","3",NA,"0","1","0"
"8","Víctor Emanuel Aguilera ","Argentino","80 kg","1.8","31 Años, 11 Mes(es), 8 Día(s)","1151","14","13","3","0",NA,"0"
"9","Jordan Jesús Silva Díaz","Mexicano","87 kg","1.9","26 Años, 9 Mes(es), 20 Día(s)","217","4","2",NA,"0","1","0"
"10","Adrián Horst Gilberto Goransch García","Mexicano","68 kg","1.7","22 Años, 3 Mes(es), 25 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"11","Bryan Colula Alarcón","Mexicano","80 kg","1.8","25 Años, 1 Mes(es), 13 Día(s)","94","2","1",NA,"0",NA,"0"
"12","Pedro Jesús Aquino Sánchez","Peruano","74 kg","1.75","26 Años, 1 Mes(es), 6 Día(s)","959","14","12","3","0","2","0"
"13","Sergio Ismael Díaz Velázquez","Paraguayo","68 kg","1.7","23 Años, 2 Mes(es), 14 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"14","Leonardo Gabriel Suárez ","Argentino","63 kg","1.63","25 Años, 1 Mes(es), 20 Día(s)","627","14","8",NA,"0",NA,"0"
"15","Nicolás Benedetti Roa","Colombiano","73 kg","1.77","24 Años, 0 Mes(es), 24 Día(s)","128","4","1",NA,"0",NA,"0"
"16","Alan Medina Camacho","Mexicano","74 kg","1.8","23 Años, 9 Mes(es)","87","5",NA,NA,"0",NA,"0"
"17","Francisco Sebastián Córdova Reyes","Mexicano","65.8 kg","1.74","23 Años, 11 Mes(es), 7 Día(s)","876","11","10","2","0","2",NA
"18","Richard Rafael Sánchez Guerrero","Paraguayo","70 kg","1.7","25 Años, 1 Mes(es), 21 Día(s)","922","13","10","2","0",NA,NA
"19","Álvaro Fidalgo Fernández","Español","67 kg","1.72","24 Años, 1 Mes(es), 10 Día(s)","758","10","9",NA,"0",NA,"0"
"20","Antonio de Jesús López Amenábar","Mexicano","66 kg","1.72","24 Años, 1 Mes(es), 9 Día(s)","265","8","3",NA,"0",NA,"0"
"21","Mauro Alberto Lainez Leyva","Mexicano","75 kg","1.8","25 Años, 10 Día(s)","1218","17","15","1","0","1","0"
"22","Alfonso Emilio Sánchez Castillo","Mexicano","75 kg","1.83","26 Años, 11 Mes(es), 3 Día(s)","164","3","2",NA,"0","1","0"
"23","Roger Beyker Martínez Tobinson","Colombiano","86 kg","1.8","26 Años, 10 Mes(es), 26 Día(s)","755","16","8","4","0","1","0"
"24","Giovani Dos Santos Ramírez","Mexicano","75 kg","1.75","32 Años, 8 Día(s)","277","7","3","1","0",NA,"0"
"25","Henry Josué Martín Mex","Mexicano","73.3 kg","1.77","28 Años, 6 Mes(es), 1 Día(s)","833","13","9","7","0",NA,"0"
"26","Federico Sebastián Viñas Barboza","Uruguayo","80 kg","1.8","22 Años, 10 Mes(es), 19 Día(s)","456","15","4","1","0",NA,"0"
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
